id,molecule,fgroups,xdata,ydata
0218c1ce-9863-4f08-ae3f-d4464e6e0200,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.00366787 0.06086498 0.10809782 ... 0.00307696 0.00283587 0.00245708]
021a100c-0bb3-4c4a-95f1-3f115057ceae,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.03328567 0.00245695 0.         ... 0.00265812 0.00280998 0.00376017]
022850f1-e9d5-49e6-ad5e-4565a3d6ec9c,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.02501308 0.00358404 0.         ... 0.00214965 0.00241437 0.00427675]
023ed831-f880-44eb-8fda-6829ba21b332,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.00241155 0.00609759 0.00271759 ... 0.00211346 0.00091307 0.        ]
0241a7a5-6648-458c-9c88-d20f4000ef81,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.21556903 0.18555269 0.16993137 ... 0.01111712 0.009656   0.01175688]
02514140-b124-484e-8fb1-5ca55f5942a7,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.06170528 0.06047463 0.05619804 ... 0.00568499 0.00478124 0.00221701]
025d9448-c196-4bec-9cee-1cb23e928add,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.         0.02028782 0.04836453 ... 0.00921903 0.01039035 0.01049129]
026ba273-4d28-45ba-a82a-b416c76d2dfd,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.03445268 0.01222265 0.         ... 0.00180933 0.00064229 0.        ]
029e9e6a-c5be-4d89-8d60-33f298d7934a,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.08770103 0.09461847 0.12163001 ... 0.00625433 0.00651223 0.00792221]
02a2c08e-bd90-4edb-bec0-e4c580c2b775,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.28148694 0.21864589 0.15720422 ... 0.00060783 0.00136389 0.00104044]
02d02b62-3dca-4d3a-83c7-2eb4456f0c32,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.01875071 0.         0.01181283 ... 0.01204872 0.00922182 0.00547457]
02fb3c05-9928-4b59-aae8-9b9c27f5cf4d,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.39162464 0.32780829 0.21810888 ... 0.00263671 0.00522263 0.00501842]
0309953f-869b-4894-9ee0-476424acde6c,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.0671911  0.03456582 0.01191449 ... 0.00388027 0.00096422 0.00101626]
